"Trait","Method","Mean_DIC","SD_DIC","Delta_DIC","Wprob","ER","N","r","p_value","RMSE","MAE","Bias","Slope","Mean_fold_r","SD_fold_r","Mean_fold_RMSE","SD_fold_RMSE","Mean_fold_MAE","SD_fold_MAE","Selected_method","Is_selected"
"DCI","BayesB2",293.533372412419,8.30165627267505,1.64690656372193,0.0978189408820998,2.27835406706563,150,0.193958963908456,0.0173945066228422,0.813742770164277,0.64097982748708,-0.00707620748992514,0.490609516766734,0.232199929964573,0.167477008594394,0.808543443236915,0.102681524587099,0.64097982748708,0.0618872629532638,"BL",FALSE
"DCI","BayesC",292.160679562483,8.56452209055789,0.274213713785969,0.194311910260393,1.14695070156084,150,0.20035604470152,0.013959548087952,0.812883810135766,0.638932924948723,-0.00807942523574356,0.497545652381105,0.239353128370059,0.168972996308789,0.807513997700579,0.104290653335222,0.638932924948723,0.0602103801621142,"BL",FALSE
"DCI","BL",291.886465848697,8.74870076725992,0,0.222866181794784,1,150,0.223661653538424,0.0059356885633132,0.810207370117793,0.633125231627343,-0.0105014897953872,0.515547060481362,0.257898898094087,0.162262485902666,0.804871685851885,0.10378795635294,0.633125231627343,0.0555263383138933,"BL",TRUE
"DCI","GBLUP",293.236874442446,7.93253851211665,1.35040859374874,0.113450567433065,1.96443426275742,150,0.157738610219512,0.0538773891224349,0.821006192478872,0.653387766573056,-0.00449978476946237,0.424189171691616,0.196489451350741,0.174443014851053,0.816013532266261,0.101075981611567,0.653387766573056,0.0669296324606181,"BL",FALSE
"EP","RRBLUP",163.400628424211,24.7489302183257,2.56491655708993,0.0793482960687361,3.60549214423803,150,-0.0750057088013885,0.361647843594099,0.508168215797171,0.339791278333652,-0.00682257907842472,-0.188468228259318,0.0636799256401383,0.271957778144521,0.486817613701894,0.162955310346399,0.339791278333652,0.0786987820842577,"GBLUP",FALSE
"EP","BayesA",161.874242835715,23.4008286630252,1.03853096859427,0.170211157186132,1.68079262760462,150,-0.0524978828277904,0.52345635807022,0.498935452314799,0.332197872116055,-0.00577614509700712,-0.142557328615542,0.0961077647492055,0.276118754251393,0.477433672285998,0.161994113103222,0.332197872116055,0.0787901207851935,"GBLUP",FALSE
"EP","BayesB",161.936611367265,23.2023652842637,1.10089950014407,0.164985155238367,1.7340327238603,150,-0.0458738166553289,0.577233140900794,0.497375739695263,0.331352415915735,-0.00484004752062526,-0.125563589556845,0.102521461075847,0.273672197318413,0.476221352941789,0.160451898709948,0.331352415915735,0.0783603002607802,"GBLUP",FALSE
"EP","BayesB2",161.861811884461,23.4019368643656,1.0261000173403,0.171272395117824,1.67037810113936,150,-0.0519603008127645,0.527723923021017,0.498786886270358,0.332188264536035,-0.0054469775120426,-0.141228064649367,0.0970657771544569,0.276187926400318,0.477360018886341,0.161693267810192,0.332188264536035,0.0786680465405224,"GBLUP",FALSE
"EP","BayesC",162.94325043017,24.1353032055188,2.10753856304936,0.0997369250662178,2.86844273517115,150,-0.0618839290010118,0.45186986461961,0.503261817247813,0.335723180542717,-0.00570010068921076,-0.16127071854864,0.081388973920168,0.273161857811505,0.482102283771523,0.161438241604386,0.335723180542717,0.0787186891523624,"GBLUP",FALSE
"EP","BL",165.45861593178,25.9519709654424,4.62290406465956,0.028356413188221,10.0890636709067,150,-0.0898975971896094,0.273945109459409,0.518490594169462,0.348765342871208,-0.00707470389669446,-0.206376537630778,0.0352844763939291,0.261916482838044,0.497869268368084,0.161859073953355,0.348765342871208,0.0779957676989504,"GBLUP",FALSE
"EP","GBLUP",160.835711867121,23.6308491273362,0,0.286089658134501,1,150,-0.0379148419639601,0.645056055744215,0.495485680184146,0.330334617057016,-0.00389129937038377,-0.104850697556928,0.107895414696339,0.269073627012828,0.47453493084349,0.1593842004282,0.330334617057016,0.0775111573338404,"GBLUP",TRUE
"FFC","RRBLUP",376.659913323637,7.35739381522491,0.785229377524729,0.132880961159267,1.4808476921313,150,0.209539484212215,0.0100678384947303,1.14603386118217,0.890329640148451,-0.00387259538318873,0.488584993262472,0.237482421115786,0.136087586770225,1.14232442589637,0.103007991053215,0.890329640148451,0.106886798476725,"BL",FALSE
"FFC","BayesA",376.394404446591,6.49802009413615,0.519720500478115,0.151746010112505,1.29674885366013,150,0.190806309046216,0.0193420700119223,1.1507520625496,0.898673972975188,-0.000811839952834654,0.463182774565943,0.223441628510285,0.151601547317573,1.14718582209403,0.101211406524909,0.898673972975188,0.0974875077537802,"BL",FALSE
"FFC","BayesB",376.617678199249,6.22977837791019,0.74299425313643,0.135716922019943,1.44990367989611,150,0.186092605435142,0.0226048700867308,1.15185552865901,0.89959302384901,-0.00072507522140764,0.456548133332314,0.219216147220192,0.147779311954534,1.14841220563625,0.0995022917324957,0.89959302384901,0.0951125187799345,"BL",FALSE
"FFC","BayesB2",376.398839246091,6.50567657858844,0.524155299977906,0.151409901329117,1.29962745456891,150,0.190371438294566,0.0196249889753792,1.1509245983893,0.898855213828135,-0.00105350650235144,0.462266423556111,0.222925553076128,0.151229757151905,1.14738086768409,0.100899551845333,0.898855213828135,0.0969406509021684,"BL",FALSE
"FFC","BayesC",376.735055934129,6.84970412366675,0.860371988016482,0.127981073962673,1.5375434708282,150,0.200377228029284,0.0139492374978013,1.14770511193605,0.892965063488228,-0.00307897255616496,0.479567307027523,0.229969790323322,0.138469875494833,1.14416352046545,0.100727741959777,0.892965063488228,0.10149068375682,"BL",FALSE
"FFC","BL",377.159896507242,8.17553569989115,1.28521256112981,0.103488666755605,1.90143008727313,150,0.218405827910348,0.00725227566725222,1.14757089215048,0.888910114289599,-0.00593038820172888,0.483166686480561,0.24134628851289,0.114650711023882,1.14359782925097,0.106670974516982,0.888910114289599,0.117429546350494,"BL",TRUE
"FFC","GBLUP",375.874683946113,5.778691794177,0,0.19677646466089,1,150,0.195371475139856,0.0165786569208414,1.1445477320416,0.894653542851222,-0.00140661930248995,0.49484744993101,0.229188345789763,0.162520161362783,1.14161350840988,0.0915703850709927,0.894653542851222,0.0853945746663255,"BL",FALSE
"FFP","RRBLUP",198.9713180038,71.5577812533618,3.79712925115842,0.042665634659491,6.6763045645958,150,0.0576397225063768,0.48354217629379,0.593012154524697,0.29101219458233,-0.0067984270850328,0.138373178349873,0.135643354584096,0.105865903828619,0.519925369373655,0.318867185705296,0.29101219458233,0.0459718600187431,"GBLUP",FALSE
"FFP","BayesA",195.860156833753,72.2221667468441,0.68596808111198,0.202142798782605,1.40914627255595,150,0.0864175086037659,0.293025071999926,0.581443636100943,0.278222114425319,-0.00362074730818051,0.224043737554773,0.179183602257621,0.100724550414823,0.503705002223068,0.324726755707288,0.278222114425319,0.0492376331525903,"GBLUP",FALSE
"FFP","BayesB",195.987024377607,72.2801314653865,0.812835624965658,0.189718349325138,1.50142973751245,150,0.0888142505771029,0.279792381228469,0.580325514295238,0.276560055010792,-0.00340578890553361,0.232613119927056,0.182202279109052,0.0966193096581131,0.502014173045807,0.325498603305695,0.276560055010792,0.0497125136789207,"GBLUP",FALSE
"FFP","BayesB2",195.822519894383,72.2001166239217,0.648331141741522,0.205982835396338,1.38287625219087,150,0.086924124758288,0.290193900760389,0.581346314972859,0.278133020877116,-0.00370227993871894,0.225331095675666,0.179804700835216,0.0998808608920834,0.50359109784074,0.324729780178999,0.278133020877116,0.0491700324066302,"GBLUP",FALSE
"FFP","BayesC",198.063541188602,71.9827693206651,2.88935243596018,0.0671737264001622,4.24047892968832,150,0.0694256356357749,0.398561519734044,0.587324725478269,0.283660229670885,-0.00552900957533433,0.173828039214325,0.152708057277097,0.102822393173531,0.511956357974394,0.321813262404843,0.283660229670885,0.0474835037833927,"GBLUP",FALSE
"FFP","BL",202.456882191075,71.5061884000903,7.28269343843331,0.00746788400772974,38.1431702921068,150,0.0315962121880752,0.701103232051111,0.605878651946135,0.305811677199409,-0.00884511896296133,0.0700825294235583,0.0928660361513349,0.107918620917428,0.537843246410478,0.311876544434461,0.305811677199409,0.044847081471334,"GBLUP",FALSE
"FFP","GBLUP",195.174188752641,71.9697985607556,0,0.284848771428536,1,150,0.0900667503542239,0.273039635433108,0.580133419812543,0.276344922133153,-0.0036959495129665,0.235643769483463,0.185714642418029,0.0904523356479398,0.501361337864923,0.326327277586648,0.276344922133153,0.0497310779590117,"GBLUP",TRUE
"SS","RRBLUP",381.930876285076,7.53702680148995,0.453361833549422,0.146645838355554,1.25442953665172,150,0.0848283807796408,0.30202445851589,1.22569429828187,0.955784444159534,0.0200523800241189,0.203400281908202,0.104988715753483,0.110056288578792,1.21861938489063,0.147025965434127,0.955784444159534,0.0667551094966248,"BL",FALSE
"SS","BayesA",382.392772846865,7.47820000265011,0.915258395338185,0.116404609619247,1.58032290698774,150,0.0819081317570814,0.31903195288876,1.22188246993345,0.953388247626863,0.0197932793937766,0.203293067936372,0.100803189746786,0.108077808395207,1.21481951130003,0.146672787589508,0.953388247626863,0.0696608857651696,"BL",FALSE
"SS","BayesB",382.113191845287,7.02913703371672,0.635677393759806,0.133869124097416,1.37415458792722,150,0.0837647963217937,0.308148284084692,1.22221223217273,0.955280740354608,0.022881127981465,0.206311449430647,0.0997599413400789,0.103665956318413,1.21569788662104,0.140896189346042,0.955280740354608,0.0680422593860374,"BL",FALSE
"SS","BayesB2",382.415849477324,7.43179874283639,0.938335025796675,0.115069215454094,1.59866277296076,150,0.0815148047041876,0.321369199479363,1.22196107680539,0.953703478758636,0.0199915987052303,0.202458905446363,0.100165823474841,0.108541765881443,1.21495506542644,0.146086713213552,0.953703478758636,0.0692087656122225,"BL",FALSE
"SS","BayesC",381.739970608687,7.08127029041866,0.262456157160045,0.161333436117814,1.14022781319755,150,0.0849140921417362,0.301534471053227,1.22310494549097,0.955649132737945,0.0214609832478099,0.207103240133019,0.103182886409193,0.106012516050909,1.21637258391139,0.143280515044738,0.955649132737945,0.0663684825617862,"BL",FALSE
"SS","BL",381.477514451527,7.389926276156,0,0.183956871060262,1,150,0.0949763230381019,0.247639326144709,1.23161881287657,0.962749669632014,0.0244377704495424,0.213272423061968,0.113415655277841,0.109306695062257,1.22491389303788,0.143487172224058,0.962749669632014,0.0627732146296084,"BL",TRUE
"SS","GBLUP",381.985135095031,7.46313654844287,0.507620643503856,0.142720905295613,1.28892729960785,150,0.0672061934085411,0.413846620581552,1.21702201343392,0.945870125677889,0.0129719556507455,0.181137301029967,0.0878890461686021,0.1074140661013,1.20996687860883,0.146299068060823,0.945870125677889,0.070258862142936,"BL",FALSE
